year,NDVI_mean
"2,000",0.55
"2,001",0.592
"2,002",0.572
"2,003",0.593
"2,004",0.612
"2,005",0.526
"2,006",0.549
"2,007",0.573
"2,008",0.56
"2,009",0.591
"2,010",0.527
"2,011",0.593
"2,012",0.545
"2,013",0.587
"2,014",0.59
"2,015",0.572
"2,016",0.632
"2,017",0.635
"2,018",0.637
"2,019",0.578
"2,020",0.615
